m,k,log_n,N,reps,n_success
8,3,3,1,100000,100000
8,3,3,2,100000,81225
8,3,3,3,100000,51386
8,3,3,4,100000,19141
8,3,3,5,100000,0
8,3,3,6,100000,0
8,3,3,7,100000,0
8,3,3,8,100000,0
8,3,3,9,100000,0
8,3,3,10,100000,0
8,3,3,11,100000,0
8,3,3,12,100000,0
8,3,3,13,100000,0
8,3,3,14,100000,0
8,3,3,15,100000,0
8,3,3,16,100000,0
8,3,3,17,100000,0
8,3,3,18,100000,0
8,3,3,19,100000,0
8,3,4,1,100000,100000
8,3,4,2,100000,85837
8,3,4,3,100000,61964
8,3,4,4,100000,29304
8,3,4,5,100000,0
8,3,4,6,100000,0
8,3,4,7,100000,0
8,3,4,8,100000,0
8,3,4,9,100000,0
8,3,4,10,100000,0
8,3,4,11,100000,0
8,3,4,12,100000,0
8,3,4,13,100000,0
8,3,4,14,100000,0
8,3,4,15,100000,0
8,3,4,16,100000,0
8,3,4,17,100000,0
8,3,4,18,100000,0
8,3,4,19,100000,0
8,3,5,1,100000,100000
8,3,5,2,100000,83217
8,3,5,3,100000,55857
8,3,5,4,100000,23502
8,3,5,5,100000,0
8,3,5,6,100000,0
8,3,5,7,100000,0
8,3,5,8,100000,0
8,3,5,9,100000,0
8,3,5,10,100000,0
8,3,5,11,100000,0
8,3,5,12,100000,0
8,3,5,13,100000,0
8,3,5,14,100000,0
8,3,5,15,100000,0
8,3,5,16,100000,0
8,3,5,17,100000,0
8,3,5,18,100000,0
8,3,5,19,100000,0
8,3,6,1,100000,100000
8,3,6,2,100000,86300
8,3,6,3,100000,62902
8,3,6,4,100000,29904
8,3,6,5,100000,0
8,3,6,6,100000,0
8,3,6,7,100000,0
8,3,6,8,100000,0
8,3,6,9,100000,0
8,3,6,10,100000,0
8,3,6,11,100000,0
8,3,6,12,100000,0
8,3,6,13,100000,0
8,3,6,14,100000,0
8,3,6,15,100000,0
8,3,6,16,100000,0
8,3,6,17,100000,0
8,3,6,18,100000,0
8,3,6,19,100000,0
8,3,7,1,100000,100000
8,3,7,2,100000,87055
8,3,7,3,100000,64828
8,3,7,4,100000,32012
8,3,7,5,100000,0
8,3,7,6,100000,0
8,3,7,7,100000,0
8,3,7,8,100000,0
8,3,7,9,100000,0
8,3,7,10,100000,0
8,3,7,11,100000,0
8,3,7,12,100000,0
8,3,7,13,100000,0
8,3,7,14,100000,0
8,3,7,15,100000,0
8,3,7,16,100000,0
8,3,7,17,100000,0
8,3,7,18,100000,0
8,3,7,19,100000,0
8,3,8,1,100000,100000
8,3,8,2,100000,87488
8,3,8,3,100000,65272
8,3,8,4,100000,32220
8,3,8,5,100000,0
8,3,8,6,100000,0
8,3,8,7,100000,0
8,3,8,8,100000,0
8,3,8,9,100000,0
8,3,8,10,100000,0
8,3,8,11,100000,0
8,3,8,12,100000,0
8,3,8,13,100000,0
8,3,8,14,100000,0
8,3,8,15,100000,0
8,3,8,16,100000,0
8,3,8,17,100000,0
8,3,8,18,100000,0
8,3,8,19,100000,0
8,3,9,1,100000,100000
8,3,9,2,100000,87510
8,3,9,3,100000,65541
8,3,9,4,100000,32840
8,3,9,5,100000,0
8,3,9,6,100000,0
8,3,9,7,100000,0
8,3,9,8,100000,0
8,3,9,9,100000,0
8,3,9,10,100000,0
8,3,9,11,100000,0
8,3,9,12,100000,0
8,3,9,13,100000,0
8,3,9,14,100000,0
8,3,9,15,100000,0
8,3,9,16,100000,0
8,3,9,17,100000,0
8,3,9,18,100000,0
8,3,9,19,100000,0
8,3,10,1,100000,100000
8,3,10,2,100000,87437
8,3,10,3,100000,65512
8,3,10,4,100000,32893
8,3,10,5,100000,0
8,3,10,6,100000,0
8,3,10,7,100000,0
8,3,10,8,100000,0
8,3,10,9,100000,0
8,3,10,10,100000,0
8,3,10,11,100000,0
8,3,10,12,100000,0
8,3,10,13,100000,0
8,3,10,14,100000,0
8,3,10,15,100000,0
8,3,10,16,100000,0
8,3,10,17,100000,0
8,3,10,18,100000,0
8,3,10,19,100000,0
8,3,11,1,100000,100000
8,3,11,2,100000,87535
8,3,11,3,100000,65817
8,3,11,4,100000,32958
8,3,11,5,100000,0
8,3,11,6,100000,0
8,3,11,7,100000,0
8,3,11,8,100000,0
8,3,11,9,100000,0
8,3,11,10,100000,0
8,3,11,11,100000,0
8,3,11,12,100000,0
8,3,11,13,100000,0
8,3,11,14,100000,0
8,3,11,15,100000,0
8,3,11,16,100000,0
8,3,11,17,100000,0
8,3,11,18,100000,0
8,3,11,19,100000,0
8,3,12,1,100000,100000
8,3,12,2,100000,87550
8,3,12,3,100000,65709
8,3,12,4,100000,32785
8,3,12,5,100000,0
8,3,12,6,100000,0
8,3,12,7,100000,0
8,3,12,8,100000,0
8,3,12,9,100000,0
8,3,12,10,100000,0
8,3,12,11,100000,0
8,3,12,12,100000,0
8,3,12,13,100000,0
8,3,12,14,100000,0
8,3,12,15,100000,0
8,3,12,16,100000,0
8,3,12,17,100000,0
8,3,12,18,100000,0
8,3,12,19,100000,0
8,3,13,1,100000,100000
8,3,13,2,100000,87447
8,3,13,3,100000,65742
8,3,13,4,100000,32870
8,3,13,5,100000,0
8,3,13,6,100000,0
8,3,13,7,100000,0
8,3,13,8,100000,0
8,3,13,9,100000,0
8,3,13,10,100000,0
8,3,13,11,100000,0
8,3,13,12,100000,0
8,3,13,13,100000,0
8,3,13,14,100000,0
8,3,13,15,100000,0
8,3,13,16,100000,0
8,3,13,17,100000,0
8,3,13,18,100000,0
8,3,13,19,100000,0
8,3,14,1,100000,100000
8,3,14,2,100000,87249
8,3,14,3,100000,65660
8,3,14,4,100000,32916
8,3,14,5,100000,0
8,3,14,6,100000,0
8,3,14,7,100000,0
8,3,14,8,100000,0
8,3,14,9,100000,0
8,3,14,10,100000,0
8,3,14,11,100000,0
8,3,14,12,100000,0
8,3,14,13,100000,0
8,3,14,14,100000,0
8,3,14,15,100000,0
8,3,14,16,100000,0
8,3,14,17,100000,0
8,3,14,18,100000,0
8,3,14,19,100000,0
8,3,15,1,100000,100000
8,3,15,2,100000,87521
8,3,15,3,100000,65678
8,3,15,4,100000,32727
8,3,15,5,100000,0
8,3,15,6,100000,0
8,3,15,7,100000,0
8,3,15,8,100000,0
8,3,15,9,100000,0
8,3,15,10,100000,0
8,3,15,11,100000,0
8,3,15,12,100000,0
8,3,15,13,100000,0
8,3,15,14,100000,0
8,3,15,15,100000,0
8,3,15,16,100000,0
8,3,15,17,100000,0
8,3,15,18,100000,0
8,3,15,19,100000,0
8,3,16,1,100000,100000
8,3,16,2,100000,87491
8,3,16,3,100000,65679
8,3,16,4,100000,32845
8,3,16,5,100000,0
8,3,16,6,100000,0
8,3,16,7,100000,0
8,3,16,8,100000,0
8,3,16,9,100000,0
8,3,16,10,100000,0
8,3,16,11,100000,0
8,3,16,12,100000,0
8,3,16,13,100000,0
8,3,16,14,100000,0
8,3,16,15,100000,0
8,3,16,16,100000,0
8,3,16,17,100000,0
8,3,16,18,100000,0
8,3,16,19,100000,0
8,3,17,1,100000,100000
8,3,17,2,100000,87594
8,3,17,3,100000,65458
8,3,17,4,100000,32971
8,3,17,5,100000,0
8,3,17,6,100000,0
8,3,17,7,100000,0
8,3,17,8,100000,0
8,3,17,9,100000,0
8,3,17,10,100000,0
8,3,17,11,100000,0
8,3,17,12,100000,0
8,3,17,13,100000,0
8,3,17,14,100000,0
8,3,17,15,100000,0
8,3,17,16,100000,0
8,3,17,17,100000,0
8,3,17,18,100000,0
8,3,17,19,100000,0
8,3,18,1,100000,100000
8,3,18,2,100000,87425
8,3,18,3,100000,65624
8,3,18,4,100000,32762
8,3,18,5,100000,0
8,3,18,6,100000,0
8,3,18,7,100000,0
8,3,18,8,100000,0
8,3,18,9,100000,0
8,3,18,10,100000,0
8,3,18,11,100000,0
8,3,18,12,100000,0
8,3,18,13,100000,0
8,3,18,14,100000,0
8,3,18,15,100000,0
8,3,18,16,100000,0
8,3,18,17,100000,0
8,3,18,18,100000,0
8,3,18,19,100000,0
8,3,19,1,100000,100000
8,3,19,2,100000,87697
8,3,19,3,100000,65677
8,3,19,4,100000,32746
8,3,19,5,100000,0
8,3,19,6,100000,0
8,3,19,7,100000,0
8,3,19,8,100000,0
8,3,19,9,100000,0
8,3,19,10,100000,0
8,3,19,11,100000,0
8,3,19,12,100000,0
8,3,19,13,100000,0
8,3,19,14,100000,0
8,3,19,15,100000,0
8,3,19,16,100000,0
8,3,19,17,100000,0
8,3,19,18,100000,0
8,3,19,19,100000,0
8,3,20,1,100000,100000
8,3,20,2,100000,87381
8,3,20,3,100000,65894
8,3,20,4,100000,32652
8,3,20,5,100000,0
8,3,20,6,100000,0
8,3,20,7,100000,0
8,3,20,8,100000,0
8,3,20,9,100000,0
8,3,20,10,100000,0
8,3,20,11,100000,0
8,3,20,12,100000,0
8,3,20,13,100000,0
8,3,20,14,100000,0
8,3,20,15,100000,0
8,3,20,16,100000,0
8,3,20,17,100000,0
8,3,20,18,100000,0
8,3,20,19,100000,0
8,3,21,1,100000,100000
8,3,21,2,100000,87612
8,3,21,3,100000,65419
8,3,21,4,100000,32852
8,3,21,5,100000,0
8,3,21,6,100000,0
8,3,21,7,100000,0
8,3,21,8,100000,0
8,3,21,9,100000,0
8,3,21,10,100000,0
8,3,21,11,100000,0
8,3,21,12,100000,0
8,3,21,13,100000,0
8,3,21,14,100000,0
8,3,21,15,100000,0
8,3,21,16,100000,0
8,3,21,17,100000,0
8,3,21,18,100000,0
8,3,21,19,100000,0
8,3,22,1,100000,100000
8,3,22,2,100000,87567
8,3,22,3,100000,65756
8,3,22,4,100000,32874
8,3,22,5,100000,0
8,3,22,6,100000,0
8,3,22,7,100000,0
8,3,22,8,100000,0
8,3,22,9,100000,0
8,3,22,10,100000,0
8,3,22,11,100000,0
8,3,22,12,100000,0
8,3,22,13,100000,0
8,3,22,14,100000,0
8,3,22,15,100000,0
8,3,22,16,100000,0
8,3,22,17,100000,0
8,3,22,18,100000,0
8,3,22,19,100000,0
8,3,23,1,100000,100000
8,3,23,2,100000,87684
8,3,23,3,100000,65619
8,3,23,4,100000,32819
8,3,23,5,100000,0
8,3,23,6,100000,0
8,3,23,7,100000,0
8,3,23,8,100000,0
8,3,23,9,100000,0
8,3,23,10,100000,0
8,3,23,11,100000,0
8,3,23,12,100000,0
8,3,23,13,100000,0
8,3,23,14,100000,0
8,3,23,15,100000,0
8,3,23,16,100000,0
8,3,23,17,100000,0
8,3,23,18,100000,0
8,3,23,19,100000,0
8,3,24,1,100000,100000
8,3,24,2,100000,87494
8,3,24,3,100000,65525
8,3,24,4,100000,32697
8,3,24,5,100000,0
8,3,24,6,100000,0
8,3,24,7,100000,0
8,3,24,8,100000,0
8,3,24,9,100000,0
8,3,24,10,100000,0
8,3,24,11,100000,0
8,3,24,12,100000,0
8,3,24,13,100000,0
8,3,24,14,100000,0
8,3,24,15,100000,0
8,3,24,16,100000,0
8,3,24,17,100000,0
8,3,24,18,100000,0
8,3,24,19,100000,0
8,3,25,1,100000,100000
8,3,25,2,100000,87574
8,3,25,3,100000,65499
8,3,25,4,100000,32587
8,3,25,5,100000,0
8,3,25,6,100000,0
8,3,25,7,100000,0
8,3,25,8,100000,0
8,3,25,9,100000,0
8,3,25,10,100000,0
8,3,25,11,100000,0
8,3,25,12,100000,0
8,3,25,13,100000,0
8,3,25,14,100000,0
8,3,25,15,100000,0
8,3,25,16,100000,0
8,3,25,17,100000,0
8,3,25,18,100000,0
8,3,25,19,100000,0
8,3,26,1,100000,100000
8,3,26,2,100000,87452
8,3,26,3,100000,65797
8,3,26,4,100000,32483
8,3,26,5,100000,0
8,3,26,6,100000,0
8,3,26,7,100000,0
8,3,26,8,100000,0
8,3,26,9,100000,0
8,3,26,10,100000,0
8,3,26,11,100000,0
8,3,26,12,100000,0
8,3,26,13,100000,0
8,3,26,14,100000,0
8,3,26,15,100000,0
8,3,26,16,100000,0
8,3,26,17,100000,0
8,3,26,18,100000,0
8,3,26,19,100000,0
8,3,27,1,100000,100000
8,3,27,2,100000,87630
8,3,27,3,100000,65620
8,3,27,4,100000,32883
8,3,27,5,100000,0
8,3,27,6,100000,0
8,3,27,7,100000,0
8,3,27,8,100000,0
8,3,27,9,100000,0
8,3,27,10,100000,0
8,3,27,11,100000,0
8,3,27,12,100000,0
8,3,27,13,100000,0
8,3,27,14,100000,0
8,3,27,15,100000,0
8,3,27,16,100000,0
8,3,27,17,100000,0
8,3,27,18,100000,0
8,3,27,19,100000,0
8,3,28,1,100000,100000
8,3,28,2,100000,87609
8,3,28,3,100000,65492
8,3,28,4,100000,32805
8,3,28,5,100000,0
8,3,28,6,100000,0
8,3,28,7,100000,0
8,3,28,8,100000,0
8,3,28,9,100000,0
8,3,28,10,100000,0
8,3,28,11,100000,0
8,3,28,12,100000,0
8,3,28,13,100000,0
8,3,28,14,100000,0
8,3,28,15,100000,0
8,3,28,16,100000,0
8,3,28,17,100000,0
8,3,28,18,100000,0
8,3,28,19,100000,0
8,3,29,1,100000,100000
8,3,29,2,100000,87358
8,3,29,3,100000,65487
8,3,29,4,100000,32828
8,3,29,5,100000,0
8,3,29,6,100000,0
8,3,29,7,100000,0
8,3,29,8,100000,0
8,3,29,9,100000,0
8,3,29,10,100000,0
8,3,29,11,100000,0
8,3,29,12,100000,0
8,3,29,13,100000,0
8,3,29,14,100000,0
8,3,29,15,100000,0
8,3,29,16,100000,0
8,3,29,17,100000,0
8,3,29,18,100000,0
8,3,29,19,100000,0
8,3,30,1,100000,100000
8,3,30,2,100000,87436
8,3,30,3,100000,65703
8,3,30,4,100000,32662
8,3,30,5,100000,0
8,3,30,6,100000,0
8,3,30,7,100000,0
8,3,30,8,100000,0
8,3,30,9,100000,0
8,3,30,10,100000,0
8,3,30,11,100000,0
8,3,30,12,100000,0
8,3,30,13,100000,0
8,3,30,14,100000,0
8,3,30,15,100000,0
8,3,30,16,100000,0
8,3,30,17,100000,0
8,3,30,18,100000,0
8,3,30,19,100000,0
8,3,31,1,100000,100000
8,3,31,2,100000,87491
8,3,31,3,100000,65522
8,3,31,4,100000,32879
8,3,31,5,100000,0
8,3,31,6,100000,0
8,3,31,7,100000,0
8,3,31,8,100000,0
8,3,31,9,100000,0
8,3,31,10,100000,0
8,3,31,11,100000,0
8,3,31,12,100000,0
8,3,31,13,100000,0
8,3,31,14,100000,0
8,3,31,15,100000,0
8,3,31,16,100000,0
8,3,31,17,100000,0
8,3,31,18,100000,0
8,3,31,19,100000,0
8,3,32,1,100000,100000
8,3,32,2,100000,87543
8,3,32,3,100000,65679
8,3,32,4,100000,32769
8,3,32,5,100000,0
8,3,32,6,100000,0
8,3,32,7,100000,0
8,3,32,8,100000,0
8,3,32,9,100000,0
8,3,32,10,100000,0
8,3,32,11,100000,0
8,3,32,12,100000,0
8,3,32,13,100000,0
8,3,32,14,100000,0
8,3,32,15,100000,0
8,3,32,16,100000,0
8,3,32,17,100000,0
8,3,32,18,100000,0
8,3,32,19,100000,0
8,4,3,1,100000,100000
8,4,3,2,100000,87462
8,4,3,3,100000,65736
8,4,3,4,100000,38039
8,4,3,5,100000,9142
8,4,3,6,100000,0
8,4,3,7,100000,0
8,4,3,8,100000,0
8,4,3,9,100000,0
8,4,3,10,100000,0
8,4,3,11,100000,0
8,4,3,12,100000,0
8,4,3,13,100000,0
8,4,3,14,100000,0
8,4,3,15,100000,0
8,4,3,16,100000,0
8,4,3,17,100000,0
8,4,3,18,100000,0
8,4,3,19,100000,0
8,4,4,1,100000,100000
8,4,4,2,100000,91478
8,4,4,3,100000,75818
8,4,4,4,100000,52771
8,4,4,5,100000,19733
8,4,4,6,100000,0
8,4,4,7,100000,0
8,4,4,8,100000,0
8,4,4,9,100000,0
8,4,4,10,100000,0
8,4,4,11,100000,0
8,4,4,12,100000,0
8,4,4,13,100000,0
8,4,4,14,100000,0
8,4,4,15,100000,0
8,4,4,16,100000,0
8,4,4,17,100000,0
8,4,4,18,100000,0
8,4,4,19,100000,0
8,4,5,1,100000,100000
8,4,5,2,100000,90807
8,4,5,3,100000,74325
8,4,5,4,100000,50646
8,4,5,5,100000,17772
8,4,5,6,100000,0
8,4,5,7,100000,0
8,4,5,8,100000,0
8,4,5,9,100000,0
8,4,5,10,100000,0
8,4,5,11,100000,0
8,4,5,12,100000,0
8,4,5,13,100000,0
8,4,5,14,100000,0
8,4,5,15,100000,0
8,4,5,16,100000,0
8,4,5,17,100000,0
8,4,5,18,100000,0
8,4,5,19,100000,0
8,4,6,1,100000,100000
8,4,6,2,100000,92954
8,4,6,3,100000,80305
8,4,6,4,100000,58456
8,4,6,5,100000,23956
8,4,6,6,100000,0
8,4,6,7,100000,0
8,4,6,8,100000,0
8,4,6,9,100000,0
8,4,6,10,100000,0
8,4,6,11,100000,0
8,4,6,12,100000,0
8,4,6,13,100000,0
8,4,6,14,100000,0
8,4,6,15,100000,0
8,4,6,16,100000,0
8,4,6,17,100000,0
8,4,6,18,100000,0
8,4,6,19,100000,0
8,4,7,1,100000,100000
8,4,7,2,100000,93541
8,4,7,3,100000,81153
8,4,7,4,100000,60532
8,4,7,5,100000,25403
8,4,7,6,100000,0
8,4,7,7,100000,0
8,4,7,8,100000,0
8,4,7,9,100000,0
8,4,7,10,100000,0
8,4,7,11,100000,0
8,4,7,12,100000,0
8,4,7,13,100000,0
8,4,7,14,100000,0
8,4,7,15,100000,0
8,4,7,16,100000,0
8,4,7,17,100000,0
8,4,7,18,100000,0
8,4,7,19,100000,0
8,4,8,1,100000,100000
8,4,8,2,100000,93535
8,4,8,3,100000,81321
8,4,8,4,100000,60438
8,4,8,5,100000,25638
8,4,8,6,100000,0
8,4,8,7,100000,0
8,4,8,8,100000,0
8,4,8,9,100000,0
8,4,8,10,100000,0
8,4,8,11,100000,0
8,4,8,12,100000,0
8,4,8,13,100000,0
8,4,8,14,100000,0
8,4,8,15,100000,0
8,4,8,16,100000,0
8,4,8,17,100000,0
8,4,8,18,100000,0
8,4,8,19,100000,0
8,4,9,1,100000,100000
8,4,9,2,100000,93583
8,4,9,3,100000,81555
8,4,9,4,100000,60833
8,4,9,5,100000,25596
8,4,9,6,100000,0
8,4,9,7,100000,0
8,4,9,8,100000,0
8,4,9,9,100000,0
8,4,9,10,100000,0
8,4,9,11,100000,0
8,4,9,12,100000,0
8,4,9,13,100000,0
8,4,9,14,100000,0
8,4,9,15,100000,0
8,4,9,16,100000,0
8,4,9,17,100000,0
8,4,9,18,100000,0
8,4,9,19,100000,0
8,4,10,1,100000,100000
8,4,10,2,100000,93679
8,4,10,3,100000,81636
8,4,10,4,100000,61301
8,4,10,5,100000,25812
8,4,10,6,100000,0
8,4,10,7,100000,0
8,4,10,8,100000,0
8,4,10,9,100000,0
8,4,10,10,100000,0
8,4,10,11,100000,0
8,4,10,12,100000,0
8,4,10,13,100000,0
8,4,10,14,100000,0
8,4,10,15,100000,0
8,4,10,16,100000,0
8,4,10,17,100000,0
8,4,10,18,100000,0
8,4,10,19,100000,0
8,4,11,1,100000,100000
8,4,11,2,100000,93560
8,4,11,3,100000,82194
8,4,11,4,100000,61506
8,4,11,5,100000,26262
8,4,11,6,100000,0
8,4,11,7,100000,0
8,4,11,8,100000,0
8,4,11,9,100000,0
8,4,11,10,100000,0
8,4,11,11,100000,0
8,4,11,12,100000,0
8,4,11,13,100000,0
8,4,11,14,100000,0
8,4,11,15,100000,0
8,4,11,16,100000,0
8,4,11,17,100000,0
8,4,11,18,100000,0
8,4,11,19,100000,0
8,4,12,1,100000,100000
8,4,12,2,100000,93870
8,4,12,3,100000,82070
8,4,12,4,100000,61180
8,4,12,5,100000,26204
8,4,12,6,100000,0
8,4,12,7,100000,0
8,4,12,8,100000,0
8,4,12,9,100000,0
8,4,12,10,100000,0
8,4,12,11,100000,0
8,4,12,12,100000,0
8,4,12,13,100000,0
8,4,12,14,100000,0
8,4,12,15,100000,0
8,4,12,16,100000,0
8,4,12,17,100000,0
8,4,12,18,100000,0
8,4,12,19,100000,0
8,4,13,1,100000,100000
8,4,13,2,100000,93774
8,4,13,3,100000,81827
8,4,13,4,100000,61454
8,4,13,5,100000,26081
8,4,13,6,100000,0
8,4,13,7,100000,0
8,4,13,8,100000,0
8,4,13,9,100000,0
8,4,13,10,100000,0
8,4,13,11,100000,0
8,4,13,12,100000,0
8,4,13,13,100000,0
8,4,13,14,100000,0
8,4,13,15,100000,0
8,4,13,16,100000,0
8,4,13,17,100000,0
8,4,13,18,100000,0
8,4,13,19,100000,0
8,4,14,1,100000,100000
8,4,14,2,100000,93737
8,4,14,3,100000,82057
8,4,14,4,100000,61566
8,4,14,5,100000,26115
8,4,14,6,100000,0
8,4,14,7,100000,0
8,4,14,8,100000,0
8,4,14,9,100000,0
8,4,14,10,100000,0
8,4,14,11,100000,0
8,4,14,12,100000,0
8,4,14,13,100000,0
8,4,14,14,100000,0
8,4,14,15,100000,0
8,4,14,16,100000,0
8,4,14,17,100000,0
8,4,14,18,100000,0
8,4,14,19,100000,0
8,4,15,1,100000,100000
8,4,15,2,100000,93727
8,4,15,3,100000,81970
8,4,15,4,100000,61424
8,4,15,5,100000,26248
8,4,15,6,100000,0
8,4,15,7,100000,0
8,4,15,8,100000,0
8,4,15,9,100000,0
8,4,15,10,100000,0
8,4,15,11,100000,0
8,4,15,12,100000,0
8,4,15,13,100000,0
8,4,15,14,100000,0
8,4,15,15,100000,0
8,4,15,16,100000,0
8,4,15,17,100000,0
8,4,15,18,100000,0
8,4,15,19,100000,0
8,4,16,1,100000,100000
8,4,16,2,100000,93694
8,4,16,3,100000,81942
8,4,16,4,100000,61520
8,4,16,5,100000,26012
8,4,16,6,100000,0
8,4,16,7,100000,0
8,4,16,8,100000,0
8,4,16,9,100000,0
8,4,16,10,100000,0
8,4,16,11,100000,0
8,4,16,12,100000,0
8,4,16,13,100000,0
8,4,16,14,100000,0
8,4,16,15,100000,0
8,4,16,16,100000,0
8,4,16,17,100000,0
8,4,16,18,100000,0
8,4,16,19,100000,0
8,4,17,1,100000,100000
8,4,17,2,100000,93749
8,4,17,3,100000,82258
8,4,17,4,100000,61459
8,4,17,5,100000,26138
8,4,17,6,100000,0
8,4,17,7,100000,0
8,4,17,8,100000,0
8,4,17,9,100000,0
8,4,17,10,100000,0
8,4,17,11,100000,0
8,4,17,12,100000,0
8,4,17,13,100000,0
8,4,17,14,100000,0
8,4,17,15,100000,0
8,4,17,16,100000,0
8,4,17,17,100000,0
8,4,17,18,100000,0
8,4,17,19,100000,0
8,4,18,1,100000,100000
8,4,18,2,100000,93697
8,4,18,3,100000,82228
8,4,18,4,100000,61454
8,4,18,5,100000,26045
8,4,18,6,100000,0
8,4,18,7,100000,0
8,4,18,8,100000,0
8,4,18,9,100000,0
8,4,18,10,100000,0
8,4,18,11,100000,0
8,4,18,12,100000,0
8,4,18,13,100000,0
8,4,18,14,100000,0
8,4,18,15,100000,0
8,4,18,16,100000,0
8,4,18,17,100000,0
8,4,18,18,100000,0
8,4,18,19,100000,0
8,4,19,1,100000,100000
8,4,19,2,100000,93814
8,4,19,3,100000,82059
8,4,19,4,100000,61696
8,4,19,5,100000,26031
8,4,19,6,100000,0
8,4,19,7,100000,0
8,4,19,8,100000,0
8,4,19,9,100000,0
8,4,19,10,100000,0
8,4,19,11,100000,0
8,4,19,12,100000,0
8,4,19,13,100000,0
8,4,19,14,100000,0
8,4,19,15,100000,0
8,4,19,16,100000,0
8,4,19,17,100000,0
8,4,19,18,100000,0
8,4,19,19,100000,0
8,4,20,1,100000,100000
8,4,20,2,100000,93777
8,4,20,3,100000,81992
8,4,20,4,100000,61514
8,4,20,5,100000,26146
8,4,20,6,100000,0
8,4,20,7,100000,0
8,4,20,8,100000,0
8,4,20,9,100000,0
8,4,20,10,100000,0
8,4,20,11,100000,0
8,4,20,12,100000,0
8,4,20,13,100000,0
8,4,20,14,100000,0
8,4,20,15,100000,0
8,4,20,16,100000,0
8,4,20,17,100000,0
8,4,20,18,100000,0
8,4,20,19,100000,0
8,4,21,1,100000,100000
8,4,21,2,100000,93705
8,4,21,3,100000,81910
8,4,21,4,100000,61722
8,4,21,5,100000,26048
8,4,21,6,100000,0
8,4,21,7,100000,0
8,4,21,8,100000,0
8,4,21,9,100000,0
8,4,21,10,100000,0
8,4,21,11,100000,0
8,4,21,12,100000,0
8,4,21,13,100000,0
8,4,21,14,100000,0
8,4,21,15,100000,0
8,4,21,16,100000,0
8,4,21,17,100000,0
8,4,21,18,100000,0
8,4,21,19,100000,0
8,4,22,1,100000,100000
8,4,22,2,100000,93824
8,4,22,3,100000,82060
8,4,22,4,100000,61681
8,4,22,5,100000,26186
8,4,22,6,100000,0
8,4,22,7,100000,0
8,4,22,8,100000,0
8,4,22,9,100000,0
8,4,22,10,100000,0
8,4,22,11,100000,0
8,4,22,12,100000,0
8,4,22,13,100000,0
8,4,22,14,100000,0
8,4,22,15,100000,0
8,4,22,16,100000,0
8,4,22,17,100000,0
8,4,22,18,100000,0
8,4,22,19,100000,0
8,4,23,1,100000,100000
8,4,23,2,100000,93784
8,4,23,3,100000,81961
8,4,23,4,100000,61485
8,4,23,5,100000,26218
8,4,23,6,100000,0
8,4,23,7,100000,0
8,4,23,8,100000,0
8,4,23,9,100000,0
8,4,23,10,100000,0
8,4,23,11,100000,0
8,4,23,12,100000,0
8,4,23,13,100000,0
8,4,23,14,100000,0
8,4,23,15,100000,0
8,4,23,16,100000,0
8,4,23,17,100000,0
8,4,23,18,100000,0
8,4,23,19,100000,0
8,4,24,1,100000,100000
8,4,24,2,100000,93864
8,4,24,3,100000,81990
8,4,24,4,100000,61812
8,4,24,5,100000,26228
8,4,24,6,100000,0
8,4,24,7,100000,0
8,4,24,8,100000,0
8,4,24,9,100000,0
8,4,24,10,100000,0
8,4,24,11,100000,0
8,4,24,12,100000,0
8,4,24,13,100000,0
8,4,24,14,100000,0
8,4,24,15,100000,0
8,4,24,16,100000,0
8,4,24,17,100000,0
8,4,24,18,100000,0
8,4,24,19,100000,0
8,4,25,1,100000,100000
8,4,25,2,100000,93730
8,4,25,3,100000,82004
8,4,25,4,100000,61382
8,4,25,5,100000,26186
8,4,25,6,100000,0
8,4,25,7,100000,0
8,4,25,8,100000,0
8,4,25,9,100000,0
8,4,25,10,100000,0
8,4,25,11,100000,0
8,4,25,12,100000,0
8,4,25,13,100000,0
8,4,25,14,100000,0
8,4,25,15,100000,0
8,4,25,16,100000,0
8,4,25,17,100000,0
8,4,25,18,100000,0
8,4,25,19,100000,0
8,4,26,1,100000,100000
8,4,26,2,100000,93770
8,4,26,3,100000,82134
8,4,26,4,100000,61626
8,4,26,5,100000,26232
8,4,26,6,100000,0
8,4,26,7,100000,0
8,4,26,8,100000,0
8,4,26,9,100000,0
8,4,26,10,100000,0
8,4,26,11,100000,0
8,4,26,12,100000,0
8,4,26,13,100000,0
8,4,26,14,100000,0
8,4,26,15,100000,0
8,4,26,16,100000,0
8,4,26,17,100000,0
8,4,26,18,100000,0
8,4,26,19,100000,0
8,4,27,1,100000,100000
8,4,27,2,100000,93751
8,4,27,3,100000,81998
8,4,27,4,100000,61395
8,4,27,5,100000,26295
8,4,27,6,100000,0
8,4,27,7,100000,0
8,4,27,8,100000,0
8,4,27,9,100000,0
8,4,27,10,100000,0
8,4,27,11,100000,0
8,4,27,12,100000,0
8,4,27,13,100000,0
8,4,27,14,100000,0
8,4,27,15,100000,0
8,4,27,16,100000,0
8,4,27,17,100000,0
8,4,27,18,100000,0
8,4,27,19,100000,0
8,4,28,1,100000,100000
8,4,28,2,100000,93740
8,4,28,3,100000,81959
8,4,28,4,100000,61497
8,4,28,5,100000,26284
8,4,28,6,100000,0
8,4,28,7,100000,0
8,4,28,8,100000,0
8,4,28,9,100000,0
8,4,28,10,100000,0
8,4,28,11,100000,0
