n,N,reps,n_fail
505725,16,100000,30
2381,42,100000,30426
1525,14,100000,5793
40,23,100000,99967
58287,74,100000,4602
1699066442,61,100000,0
279,73,100000,99993
102,84,100000,100000
23950,95,100000,17044
180474,99,100000,2712
47278,61,100000,3741
234969466,62,100000,1
110,13,100000,52585
2239,21,100000,9042
1052,50,100000,69340
21107,31,100000,2156
11,47,100000,100000
485305,43,100000,170
265895731,9,100000,0
618957611,10,100000,0
3244,35,100000,16992
310,66,100000,99935
33403,98,100000,13245
3895,32,100000,12006
2381,45,100000,34329
32,39,100000,100000
611,6,100000,2467
11187,9,100000,300
11078,62,100000,15512
329,48,100000,97237
261526,86,100000,1373
48890,79,100000,6192
24200,34,100000,2271
1586,65,100000,73698
396,15,100000,23570
80,16,100000,79943
3113,47,100000,29321
1891098,4,100000,1
1938,80,100000,80754
39274,3,100000,7
85597676,7,100000,0
26993711,59,100000,9
79,15,100000,75738
140,41,100000,99864
5929,77,100000,39246
87,26,100000,98392
551,70,100000,98927
15796573,10,100000,0
4121543458,71,100000,0
50344,32,100000,993
255159291,9,100000,0
581849869,93,100000,1
1814738,57,100000,97
1898,7,100000,1097
12455,43,100000,7004
5537,98,100000,57796
75,83,100000,100000
1532711507,68,100000,0
1083,37,100000,46383
8168893,65,100000,26
936,5,100000,1017
22822,59,100000,7208
923,26,100000,29959
114687,55,100000,1249
1507523,68,100000,170
6,88,100000,100000
4329,27,100000,7726
430,40,100000,84524
3596,28,100000,10040
891,78,100000,97013
409884155,14,100000,0
2044,35,100000,25430
316,5,100000,3105
8678,72,100000,25577
27102,93,100000,14513
36920,50,100000,3208
75641832,22,100000,0
131,16,100000,61582
2189,24,100000,11956
58098,53,100000,2350
591,29,100000,50346
27555772,96,100000,18
1057695407,34,100000,0
45659,36,100000,1327
1337,42,100000,47903
11978,39,100000,6029
6864,76,100000,34027
75,76,100000,100000
3101085,58,100000,34
169,89,100000,100000
777,90,100000,99572
26682,99,100000,16606
3783,70,100000,47430
2673684247,72,100000,0
381,38,100000,85119
48263,4,100000,10
30,65,100000,100000
1705941,94,100000,254
48,82,100000,100000
9949,34,100000,5394
83851722,40,100000,0
3710,94,100000,69583
20649652,88,100000,15
200062,76,100000,1452
12096,11,100000,431
20902,55,100000,6987
16056,7,100000,116
33079,97,100000,12951
59,67,100000,100000
671,10,100000,6595
8372,7,100000,265
6105,22,100000,3641
1883476937,54,100000,1
25912,7,100000,65
12132,13,100000,636
211963697,76,100000,1
61805,92,100000,6630
500,15,100000,18854
2019,3,100000,136
4511,62,100000,34356
15593,22,100000,1471
792,38,100000,59591
9662,54,100000,13654
84191,53,100000,1642
516255,21,100000,33
184,69,100000,100000
11885,85,100000,25910
1564625510,26,100000,0
1610,45,100000,46119
3582314,73,100000,81
437788,31,100000,112
39116717,12,100000,1
43362303,76,100000,7
98,59,100000,100000
3895,60,100000,36624
652,7,100000,3231
24200,49,100000,4758
50293,89,100000,7634
497,25,100000,45999
812389,63,100000,225
2431,47,100000,35987
5409579,19,100000,3
78,91,100000,100000
403148,30,100000,110
424,67,100000,99613
32,98,100000,100000
18772,67,100000,11161
864200,11,100000,6
29709,72,100000,8326
2414,12,100000,2690
155,72,100000,100000
42642,57,100000,3543
663,3,100000,466
303,58,100000,99681
1218,8,100000,2193
80,81,100000,100000
86,81,100000,100000
36,45,100000,100000
2061,8,100000,1360
432,63,100000,99061
618957611,75,100000,0
14015,68,100000,14948
5898,84,100000,45136
38473,69,100000,5856
64144900,30,100000,0
12385,70,100000,17689
15474367,71,100000,10
147,66,100000,100000
32494697,98,100000,14
915610356,20,100000,0
17,83,100000,100000
1354442226,93,100000,0
934675126,48,100000,0
992,82,100000,96897
79143,5,100000,13
411542,59,100000,426
3037832,86,100000,135
2559,94,100000,82284
581849869,4,100000,0
37,45,100000,100000
56684223,20,100000,0
245,46,100000,98920
2844199685,3,100000,0
119513,5,100000,7
3498,58,100000,37745
2619148535,83,100000,0
3972,96,100000,68644
240,88,100000,100000
5929,41,100000,12781
40,25,100000,100000
350,81,100000,99995
246,25,100000,71651
1671144,30,100000,16
21164,71,100000,10975
16214,41,100000,5012
5431,11,100000,974
1741462,94,100000,253
3596,10,100000,1279
41410,49,100000,2823
1649,88,100000,90629
23046,76,100000,11633
1564625510,7,100000,0
2053591,93,100000,197
5222,96,100000,58428
3285564565,16,100000,0
824,60,100000,89001
22055,3,100000,12
45,17,100000,96979
39437,91,100000,9789
2510,9,100000,1423
348991,9,100000,4
1105,30,100000,32676
1052,4,100000,528
277083932,48,100000,0
107,27,100000,97247
458,40,100000,82989
350,68,100000,99920
100939671,91,100000,1
558355712,93,100000,0
45369,27,100000,769
3081,78,100000,62449
2687,16,100000,4243
7369080,68,100000,34
9833613,97,100000,51
16872,68,100000,12610
117075,43,100000,783
3381,83,100000,63660
173187,79,100000,1725
32494697,53,100000,3
8510,49,100000,13007
1555,35,100000,31966
99,67,100000,100000
128,29,100000,96731
1540,31,100000,26328
514175061,25,100000,0
40762647,65,100000,3
345,32,100000,77371
36920,98,100000,12061
1226773,54,100000,120
672141736,59,100000,0
9853,34,100000,5569
2565725199,7,100000,0
857,22,100000,23685
12084064,79,100000,30
243,73,100000,100000
19015720,46,100000,4
58859,20,100000,343
3495102949,57,100000,0
355,11,100000,14378
4799,11,100000,1166
